,股票代码,dt,open,close,high,low,vol,cje,zxj,Code,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39
0,TSLA,2024-04-17 21:37:00,156.46,156.26,156.7,156.22,41857,41857,41857,分时图,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TSLA,2024-04-17 22:13:00,154.16,154.31,154.37,154.08,13390,13390,13390,分时图,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,TSLA,2024-04-17 23:29:00,156.1,155.87,156.16,155.85,10742,10742,10742,分时图,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,TSLA,2024-04-18 01:30:00,157.17,157.2,157.27,157.15,5314,5314,5314,分时图,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,TSLA,2024-04-18 01:58:00,157.9,157.72,158.0,157.72,20477,20477,20477,分时图,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,TSLA,2024-04-18 21:42:00,150.14,149.89,150.4,149.8,51584,51584,51584,分时图,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,TSLA,2024-04-18 22:37:00,151.37,151.35,151.54,151.35,13711,13711,13711,分时图,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,TSLA,2024-04-19 21:34:00,150.45,149.79,150.7,149.65,47052,47052,47052,分时图,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,TSLA,2024-04-19 21:42:00,149.38,149.51,149.57,148.92,25075,25075,25075,分时图,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,TSLA,2024-04-20 00:42:00,148.13,148.42,148.42,148.12,10829,10829,10829,分时图,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10,TSLA,2024-04-20 02:50:00,147.05,146.8,147.07,146.8,13781,13781,13781,分时图,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
